2025-02-27 18:52:54 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 18:53:38 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 18:56:42 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 18:57:32 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:01:03 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:01:11 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:01:36 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:01:50 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:02:30 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:04:17 | Service: AuthenticationService | Port: 6003 | Status: DOWN
2025-02-27 19:06:08 | Service: AuthenticationService | Port: 6003 | Status: DOWN
