2025-02-27 18:52:53 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 18:53:37 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 18:56:42 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 18:57:31 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:01:03 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:01:10 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:01:35 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:01:50 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:02:29 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:04:16 | Service: GateWayService | Port: 6001 | Status: DOWN
2025-02-27 19:06:07 | Service: GateWayService | Port: 6001 | Status: DOWN
