2025-02-27 18:52:51 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 18:53:36 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 18:56:40 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 18:57:30 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:01:01 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:01:09 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:01:34 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:01:48 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:02:27 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:04:15 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
2025-02-27 19:06:05 | Service: MongoDB Instance 3 | Port: 27033 | Status: DOWN
